nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;32;0.5100000000;0.0100000000;1.2800000000;0.1748720196;0.5707124674;2.3050176171;0.1893654315;-0.1684515406;0.3161590978;27904215.6085770895;60.8229085628;1137134421.4997934914;
75;50;33;0.5100000000;0.0100000000;1.3200000000;0.1585256504;0.5694238455;2.2846236238;0.1729940335;-0.1684636962;0.3131100981;25192234.0699604099;67.3705012646;1137133002.9702712271;
75;50;34;0.5100000000;0.0100000000;1.3600000000;0.1438689903;0.5682535593;2.2657636178;0.1583148835;-0.1684869891;0.3102941024;22790837.0198749722;74.4690299110;1137131720.8990606464;
75;50;35;0.5100000000;0.0100000000;1.4000000000;0.1307042668;0.5671887770;2.2483082113;0.1451298979;-0.1685184072;0.3076958164;20659887.1661339771;82.1500029064;1137130559.7987063684;
75;50;36;0.5100000000;0.0100000000;1.4400000000;0.1188593031;0.5662184118;2.2321395363;0.1332666367;-0.1685556019;0.3052930688;18764908.8117427377;90.4458548231;1137129506.1647869652;
75;50;37;0.5100000000;0.0100000000;1.4800000000;0.1081839146;0.5653326087;2.2171502406;0.1225746862;-0.1685967428;0.3030726995;17076231.5973423330;99.3900076075;1137128548.2056340616;
75;50;38;0.5100000000;0.0100000000;1.5200000000;0.0985468464;0.5645226834;2.2032425558;0.1129225933;-0.1686404055;0.3010151546;15568306.4674470298;109.0167058000;1137127675.5974823091;
75;50;39;0.5100000000;0.0100000000;1.5600000000;0.0898331717;0.5637810667;2.1903274377;0.1041952609;-0.1686854859;0.2991071257;14219053.3621030487;119.3612721060;1137126879.2875162810;
75;50;40;0.5100000000;0.0100000000;1.6000000000;0.0819420826;0.5631008695;2.1783237754;0.0962917297;-0.1687311321;0.2973368083;13009395.1786685946;130.4598090545;1137126151.3189482449;
75;50;41;0.5100000000;0.0100000000;1.6400000000;0.0747849936;0.5624760767;2.1671576667;0.0891232832;-0.1687766924;0.2956910211;11922786.0783045353;142.3494646972;1137125484.6840240060;
75;50;42;0.5100000000;0.0100000000;1.6800000000;0.0682839258;0.5619013540;2.1567617562;0.0826118283;-0.1688216732;0.2941632397;10944866.5866015628;155.0682495628;1137124873.1996658957;
75;50;43;0.5100000000;0.0100000000;1.7200000000;0.0623701187;0.5613720277;2.1470746311;0.0766885057;-0.1688657061;0.2927416865;10063145.3680198385;168.6550678445;1137124311.3974520221;
75;50;44;0.5100000000;0.0100000000;1.7600000000;0.0569828429;0.5608838090;2.1380402717;0.0712924965;-0.1689085221;0.2914165938;9266727.8017816210;183.1498377300;1137123794.4333730893;
75;50;45;0.5100000000;0.0100000000;1.8000000000;0.0520683736;0.5604328019;2.1296075523;0.0663699958;-0.1689499304;0.2901818392;8546100.9678500423;198.5933688924;1137123318.0069082610;
75;50;46;0.5100000000;0.0100000000;1.8400000000;0.0475790992;0.5600158275;2.1217297881;0.0618733272;-0.1689898023;0.2890279253;7892933.6780623861;215.0275670666;1137122878.2938307682;
75;50;47;0.5100000000;0.0100000000;1.8800000000;0.0434727728;0.5596296160;2.1143643242;0.0577601781;-0.1690280572;0.2879497580;7299935.7157055411;232.4948856169;1137122471.8867213356;
75;50;48;0.5100000000;0.0100000000;1.9200000000;0.0397118352;0.5592716006;2.1074721633;0.0539929382;-0.1690646526;0.2869432252;6760697.4373553497;251.0387683447;1137122095.7428627623;
75;50;49;0.5100000000;0.0100000000;1.9600000000;0.0362628550;0.5589392415;2.1010176294;0.0505381259;-0.1690995753;0.2860015301;6269558.9317752685;270.7043120567;1137121747.1419478562;
75;50;50;0.5100000000;0.0100000000;2.0000000000;0.0330960228;0.5586304521;2.0949680623;0.0473658912;-0.1691328345;0.2851220962;5821556.2392261978;291.5365041503;1137121423.6480005925;
75;50;51;0.5100000000;0.0100000000;2.0400000000;0.0301847264;0.5583431813;2.0892935421;0.0444495820;-0.1691644567;0.2842925323;5412292.4087096529;313.5816725918;1137121123.0728490266;
75;50;52;0.5100000000;0.0100000000;2.0800000000;0.0275051701;0.5580756185;2.0839666395;0.0417653681;-0.1691944809;0.2835166761;5037869.9252895771;336.8874770296;1137120843.4518693569;
75;50;53;0.5100000000;0.0100000000;2.1200000000;0.0250360473;0.5578261351;2.0789621904;0.0392919119;-0.1692229555;0.2827894706;4694842.5712786031;361.5019831346;1137120583.0147022200;
75;50;54;0.5100000000;0.0100000000;2.1600000000;0.0227582541;0.5575932340;2.0742570916;0.0370100810;-0.1692499353;0.2821043384;4380149.8909120392;387.4740773330;1137120340.1661575072;
75;50;55;0.5100000000;0.0100000000;2.2000000000;0.0206546368;0.5573756203;2.0698301162;0.0349026976;-0.1692754794;0.2814599731;4091063.1021781231;414.8540750438;1137120113.4639558978;
75;50;56;0.5100000000;0.0100000000;2.2400000000;0.0187097711;0.5571722235;2.0656617462;0.0329543176;-0.1692996496;0.2808552141;3825147.4009949431;443.6937208097;1137119901.6054318441;
75;50;57;0.5100000000;0.0100000000;2.2800000000;0.0169097780;0.5569817434;2.0617340218;0.0311510379;-0.1693225089;0.2802850748;3580241.9316565849;474.0443857080;1137119703.4093166734;
75;50;58;0.5100000000;0.0100000000;2.3200000000;0.0152421429;0.5568032215;2.0580304041;0.0294803260;-0.1693441204;0.2797465397;3354415.2265702732;505.9580271138;1137119517.8045881216;
75;50;59;0.5100000000;0.0100000000;2.3600000000;0.0136955698;0.5566358344;2.0545356508;0.0279308714;-0.1693645468;0.2792393295;3145925.7558004156;539.4892258166;1137119343.8170300212;
75;50;60;0.5100000000;0.0100000000;2.4000000000;0.0122598534;0.5564787225;2.0512357043;0.0264924528;-0.1693838494;0.2787616266;2953215.3197040411;574.6932150479;1137119180.5623117454;
