nx;ny;nz;x;y;z;Bx;By;Bz;Jx;Jy;Jz;rhoD;temperatureD;pressureD 
75;50;43;0.51;0.0100001;1.72;0.0623646;0.561372;2.14709;0.0766828;-0.168853;0.292743;9.14883e+06;185.51;1.13712e+09;
75;50;44;0.51;0.0100001;1.76;0.0569852;0.560884;2.13806;0.0712865;-0.16848;0.291418;6.46915e+06;262.353;1.13712e+09;
75;50;45;0.51;0.0100001;1.8;0.0520733;0.560433;2.1296;0.0663914;-0.169785;0.290177;1.17062e+07;144.983;1.13712e+09;
75;50;46;0.51;0.0100001;1.84;0.0475777;0.560016;2.12175;0.0618804;-0.169419;0.28903;9.15795e+06;185.325;1.13712e+09;
75;50;47;0.51;0.0100001;1.88;0.043465;0.559629;2.11438;0.0577544;-0.169125;0.287951;2.75226e+06;616.657;1.13712e+09;
75;50;48;0.51;0.0100001;1.92;0.0397098;0.559272;2.1075;0.0539725;-0.168119;0.286945;1.03512e+07;163.962;1.13712e+09;
75;50;49;0.51;0.0100001;1.96;0.0362762;0.55894;2.10104;0.0505631;-0.169689;0.286004;8.94459e+06;189.745;1.13712e+09;
75;50;50;0.51;0.0100001;2;0.0330898;0.55863;2.09498;0.0473813;-0.170231;0.28512;5.75946e+06;294.68;1.13712e+09;
75;50;51;0.51;0.0100001;2.04;0.0301728;0.558343;2.08931;0.0444285;-0.168696;0.284293;8.45387e+06;200.76;1.13712e+09;
75;50;52;0.51;0.0100001;2.08;0.0275024;0.558076;2.08397;0.0417514;-0.16862;0.283519;2.94447e+06;576.401;1.13712e+09;
75;50;53;0.51;0.0100001;2.12;0.0250385;0.557826;2.07897;0.0392878;-0.168882;0.282789;334322;5076.52;1.13712e+09;
75;50;54;0.51;0.0100001;2.16;0.0227651;0.557593;2.07428;0.0370107;-0.16893;0.282106;3.12019e+06;543.947;1.13712e+09;
75;50;55;0.51;0.0100001;2.2;0.0206588;0.557376;2.06983;0.0349108;-0.169472;0.281461;3.60109e+06;471.3;1.13712e+09;
75;50;56;0.51;0.0100001;2.24;0.0187181;0.557172;2.06568;0.0329808;-0.170219;0.280857;2.19201e+06;774.263;1.13712e+09;
75;50;57;0.51;0.0100001;2.28;0.0169023;0.556982;2.06176;0.0311621;-0.170262;0.280287;2.52372e+06;672.497;1.13712e+09;
75;50;58;0.51;0.0100001;2.32;0.0152297;0.556803;2.05806;0.0294659;-0.169243;0.279751;6.57129e+06;258.274;1.13712e+09;
75;50;59;0.51;0.0100001;2.36;0.0137013;0.556636;2.05455;0.0279345;-0.169254;0.279241;7.62132e+06;222.687;1.13712e+09;
75;50;60;0.51;0.0100001;2.4;0.012268;0.556479;2.05129;0.0265076;-0.169741;0.278768;774050;2192.64;1.13712e+09;
75;50;61;0.51;0.0100001;2.44;0.0109289;0.556331;2.04812;0.0251716;-0.17004;0.278308;2.04305e+06;830.714;1.13712e+09;
75;50;62;0.51;0.0100001;2.48;0.00968497;0.556192;2.0452;0.023931;-0.170351;0.277886;3.84736e+06;441.131;1.13712e+09;
75;50;63;0.51;0.0100001;2.52;0.00853012;0.556062;2.04239;0.0227753;-0.170437;0.27748;995231;1705.33;1.13712e+09;
75;50;64;0.51;0.0100001;2.56;0.00744669;0.555938;2.03976;0.0216826;-0.170092;0.277095;1.88202e+06;901.795;1.13712e+09;
75;50;65;0.51;0.0100001;2.6;0.00644768;0.555822;2.03725;0.0206709;-0.169557;0.276735;4.10024e+06;413.925;1.13712e+09;
